Export for AI1330_M03_BLC8G20LS_400AV_D132728_Peak_S4_30V_Idq1p8_pulsed_P42_All.spl_1.840GHz.tdp  
PoutW_comprcon 	 PAE_comprcon 
2.785729e+002 	 5.754973e+001
2.747796e+002 	 5.698545e+001
2.716847e+002 	 5.635739e+001
2.676968e+002 	 5.548444e+001
2.632485e+002 	 5.446627e+001
2.577027e+002 	 5.328708e+001
2.512476e+002 	 5.189241e+001
2.179546e+002 	 3.679349e+001
2.348861e+002 	 4.010465e+001
2.495268e+002 	 4.309500e+001
2.617065e+002 	 4.575568e+001
2.722621e+002 	 4.820495e+001
2.807531e+002 	 5.041516e+001
2.873346e+002 	 5.236972e+001
2.926456e+002 	 5.411261e+001
2.961572e+002 	 5.549248e+001
2.976393e+002 	 5.647367e+001
2.985208e+002 	 5.727219e+001
2.980654e+002 	 5.772456e+001
2.949257e+002 	 5.760922e+001
2.883833e+002 	 5.684777e+001
2.852600e+002 	 5.644463e+001
2.827934e+002 	 5.598701e+001
2.795288e+002 	 5.529118e+001
2.751971e+002 	 5.437473e+001
2.688810e+002 	 5.319201e+001
2.614489e+002 	 5.181492e+001
2.290423e+002 	 3.764694e+001
2.464904e+002 	 4.087623e+001
2.617615e+002 	 4.384440e+001
2.740912e+002 	 4.644345e+001
2.843238e+002 	 4.873929e+001
2.928858e+002 	 5.079291e+001
3.003930e+002 	 5.258288e+001
3.055376e+002 	 5.412337e+001
3.082764e+002 	 5.531159e+001
3.091132e+002 	 5.612800e+001
3.101038e+002 	 5.687886e+001
3.091096e+002 	 5.722161e+001
3.058917e+002 	 5.710089e+001
2.998268e+002 	 5.646736e+001
2.951508e+002 	 5.590143e+001
2.922696e+002 	 5.546363e+001
2.892872e+002 	 5.487228e+001
2.851032e+002 	 5.403497e+001
2.784920e+002 	 5.285024e+001
2.704940e+002 	 5.144119e+001
2.398579e+002 	 3.838002e+001
2.581210e+002 	 4.155765e+001
2.736247e+002 	 4.440801e+001
2.857569e+002 	 4.684700e+001
2.952040e+002 	 4.894921e+001
3.035359e+002 	 5.081161e+001
3.113375e+002 	 5.243999e+001
3.161595e+002 	 5.386537e+001
3.189817e+002 	 5.495283e+001
3.198456e+002 	 5.569561e+001
3.195583e+002 	 5.621965e+001
3.176824e+002 	 5.641948e+001
3.141293e+002 	 5.628255e+001
3.086314e+002 	 5.575051e+001
3.033163e+002 	 5.514281e+001
2.992774e+002 	 5.461563e+001
2.953772e+002 	 5.399436e+001
2.904909e+002 	 5.316446e+001
2.837084e+002 	 5.202191e+001
2.759871e+002 	 5.069278e+001
2.500729e+002 	 3.885731e+001
2.683355e+002 	 4.188768e+001
2.833808e+002 	 4.452899e+001
2.955357e+002 	 4.680513e+001
3.052909e+002 	 4.880718e+001
3.127608e+002 	 5.048426e+001
3.191053e+002 	 5.194090e+001
3.236586e+002 	 5.321808e+001
3.264594e+002 	 5.419672e+001
3.271400e+002 	 5.480548e+001
3.257258e+002 	 5.512442e+001
3.230223e+002 	 5.526423e+001
3.187477e+002 	 5.505412e+001
3.140928e+002 	 5.462942e+001
3.095888e+002 	 5.414299e+001
3.043498e+002 	 5.352914e+001
2.988577e+002 	 5.281430e+001
2.934071e+002 	 5.201332e+001
2.871336e+002 	 5.102764e+001
2.802211e+002 	 4.989365e+001
2.547633e+002 	 3.853301e+001
2.727853e+002 	 4.146562e+001
2.879568e+002 	 4.405552e+001
2.999888e+002 	 4.623602e+001
3.098525e+002 	 4.812199e+001
3.176546e+002 	 4.968520e+001
3.232922e+002 	 5.097229e+001
3.278488e+002 	 5.216691e+001
3.303286e+002 	 5.305848e+001
3.307983e+002 	 5.360774e+001
3.284789e+002 	 5.377231e+001
3.237957e+002 	 5.362891e+001
3.206267e+002 	 5.354627e+001
3.176111e+002 	 5.336258e+001
3.136698e+002 	 5.300058e+001
3.080500e+002 	 5.239928e+001
3.022750e+002 	 5.169446e+001
2.963634e+002 	 5.088797e+001
2.900612e+002 	 4.999021e+001
2.833980e+002 	 4.900363e+001
2.535322e+002 	 3.749473e+001
2.708345e+002 	 4.025659e+001
2.869605e+002 	 4.289835e+001
2.999869e+002 	 4.512401e+001
3.101742e+002 	 4.696329e+001
3.179906e+002 	 4.846312e+001
3.234595e+002 	 4.964321e+001
3.277916e+002 	 5.069731e+001
3.301927e+002 	 5.151457e+001
3.308470e+002 	 5.207956e+001
3.287161e+002 	 5.223835e+001
3.249187e+002 	 5.215439e+001
3.225954e+002 	 5.217174e+001
3.207469e+002 	 5.214457e+001
3.164424e+002 	 5.178229e+001
3.107784e+002 	 5.120683e+001
3.045078e+002 	 5.048235e+001
2.982368e+002 	 4.967763e+001
2.919046e+002 	 4.882348e+001
2.852085e+002 	 4.790776e+001
2.500647e+002 	 3.629642e+001
2.659500e+002 	 3.877758e+001
2.809745e+002 	 4.116206e+001
2.938211e+002 	 4.325999e+001
3.044808e+002 	 4.507845e+001
3.129709e+002 	 4.659724e+001
3.192173e+002 	 4.780940e+001
3.234105e+002 	 4.879837e+001
3.257747e+002 	 4.957972e+001
3.267098e+002 	 5.014853e+001
3.255512e+002 	 5.041443e+001
3.243085e+002 	 5.057357e+001
3.229843e+002 	 5.066294e+001
3.215033e+002 	 5.070207e+001
3.178841e+002 	 5.044986e+001
3.110863e+002 	 4.980807e+001
3.037400e+002 	 4.903042e+001
2.978204e+002 	 4.831328e+001
2.920739e+002 	 4.754859e+001
2.856924e+002 	 4.668249e+001
2.446805e+002 	 3.498258e+001
2.595782e+002 	 3.724506e+001
2.725939e+002 	 3.924797e+001
2.840230e+002 	 4.105111e+001
2.940812e+002 	 4.271848e+001
3.031808e+002 	 4.427745e+001
3.100867e+002 	 4.555544e+001
3.150185e+002 	 4.661684e+001
3.178323e+002 	 4.744876e+001
3.184278e+002 	 4.797981e+001
3.190540e+002 	 4.839116e+001
3.198365e+002 	 4.871786e+001
3.197534e+002 	 4.888403e+001
3.184535e+002 	 4.891557e+001
3.145544e+002 	 4.868468e+001
3.076290e+002 	 4.811572e+001
3.009534e+002 	 4.748012e+001
2.956485e+002 	 4.687542e+001
2.902993e+002 	 4.619037e+001
2.842486e+002 	 4.538817e+001
2.349728e+002 	 3.320898e+001
2.491186e+002 	 3.529418e+001
2.618628e+002 	 3.720485e+001
2.737862e+002 	 3.902324e+001
2.841627e+002 	 4.067819e+001
2.928864e+002 	 4.214146e+001
2.999852e+002 	 4.338503e+001
3.051372e+002 	 4.440642e+001
3.072946e+002 	 4.515418e+001
3.083482e+002 	 4.573233e+001
3.099693e+002 	 4.620580e+001
3.109543e+002 	 4.652560e+001
3.111069e+002 	 4.672847e+001
3.100625e+002 	 4.678040e+001
3.069040e+002 	 4.662211e+001
3.020597e+002 	 4.628448e+001
2.968111e+002 	 4.584709e+001
2.918487e+002 	 4.533791e+001
2.867765e+002 	 4.473306e+001
2.811572e+002 	 4.401167e+001
2.200603e+002 	 3.084435e+001
2.351934e+002 	 3.303340e+001
2.491120e+002 	 3.508440e+001
2.614395e+002 	 3.695519e+001
2.720285e+002 	 3.860748e+001
2.809361e+002 	 3.999750e+001
2.882956e+002 	 4.118208e+001
2.934095e+002 	 4.214451e+001
2.956790e+002 	 4.283237e+001
2.973513e+002 	 4.341805e+001
2.997979e+002 	 4.394838e+001
3.008593e+002 	 4.430735e+001
3.007239e+002 	 4.452187e+001
2.998752e+002 	 4.461494e+001
2.975677e+002 	 4.453751e+001
2.944997e+002 	 4.434889e+001
2.907141e+002 	 4.406443e+001
2.864997e+002 	 4.368265e+001
2.819456e+002 	 4.318822e+001
2.767929e+002 	 4.255817e+001
2.053434e+002 	 2.858538e+001
2.213528e+002 	 3.087046e+001
2.359924e+002 	 3.298880e+001
2.488687e+002 	 3.489028e+001
2.596413e+002 	 3.652075e+001
2.680535e+002 	 3.782182e+001
2.744454e+002 	 3.885297e+001
2.793461e+002 	 3.972746e+001
2.830749e+002 	 4.048944e+001
2.860037e+002 	 4.115484e+001
2.888444e+002 	 4.175010e+001
2.905629e+002 	 4.218954e+001
2.909424e+002 	 4.246052e+001
2.902710e+002 	 4.260137e+001
2.886297e+002 	 4.259565e+001
2.863737e+002 	 4.247475e+001
2.834101e+002 	 4.225556e+001
2.798721e+002 	 4.194370e+001
2.757462e+002 	 4.152856e+001
2.709675e+002 	 4.099184e+001
1.924086e+002 	 2.665035e+001
2.085280e+002 	 2.891526e+001
2.231301e+002 	 3.099113e+001
2.354671e+002 	 3.278332e+001
2.457568e+002 	 3.430503e+001
2.540432e+002 	 3.555370e+001
2.606368e+002 	 3.657762e+001
2.662544e+002 	 3.749531e+001
2.709717e+002 	 3.832507e+001
2.744010e+002 	 3.900915e+001
2.772562e+002 	 3.960569e+001
2.793330e+002 	 4.008318e+001
2.802953e+002 	 4.041615e+001
2.802149e+002 	 4.062607e+001
2.791930e+002 	 4.069391e+001
2.774415e+002 	 4.063020e+001
2.750119e+002 	 4.045663e+001
2.720455e+002 	 4.018692e+001
2.684120e+002 	 3.981330e+001
2.640353e+002 	 3.933675e+001
1.805985e+002 	 2.495232e+001
1.964234e+002 	 2.714338e+001
2.103470e+002 	 2.909378e+001
2.220920e+002 	 3.076793e+001
2.318456e+002 	 3.217990e+001
2.402757e+002 	 3.342429e+001
2.475300e+002 	 3.451572e+001
2.537413e+002 	 3.547534e+001
2.587998e+002 	 3.630766e+001
2.624184e+002 	 3.697531e+001
2.654084e+002 	 3.757506e+001
2.678254e+002 	 3.808019e+001
2.691679e+002 	 3.843266e+001
2.693827e+002 	 3.865339e+001
2.686715e+002 	 3.876237e+001
2.672593e+002 	 3.874801e+001
2.651844e+002 	 3.861905e+001
2.626743e+002 	 3.840346e+001
2.595804e+002 	 3.808745e+001
2.557673e+002 	 3.766412e+001
